Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
305,Lindy Waters III,27,GSW,SG,26,8,17.5,2,5.6,0.359,1.3,4,0.327,0.7,1.6,0.439,0.476,0.2,0.3,0.857,0.5,2.1,2.6,1.3,0.7,0.2,0.3,1.7,5.5,
306,Precious Achiuwa,25,NYK,PF,14,1,18.2,2.1,4.5,0.476,0.4,0.9,0.385,1.8,3.6,0.5,0.516,0.7,1.4,0.526,2,4.4,6.4,1.1,0.6,0.8,1,1.3,5.4,
307,Trevelin Queen,27,ORL,SG,9,2,15.3,2,3.7,0.545,1,1.9,0.529,1,1.8,0.563,0.682,0.4,0.4,1,0.4,0.7,1.1,1.3,1,0.3,1.1,1.7,5.4,
308,Ben Sheppard,23,IND,SG,21,6,19.9,2,4.9,0.417,1.3,3.5,0.378,0.7,1.4,0.517,0.553,0,0,,0.6,1.9,2.5,1,0.5,0.3,0.3,2.5,5.4,
309,Lonzo Ball,27,CHI,PG,15,0,18.5,1.7,5.3,0.329,1.3,4.4,0.303,0.4,0.9,0.462,0.456,0.5,0.7,0.8,0.4,3,3.4,3.7,1.3,0.5,1.1,1.4,5.3,
310,Kobe Bufkin,21,ATL,SG,10,0,12.4,1.8,4.7,0.383,0.4,1.9,0.211,1.4,2.8,0.5,0.426,1.3,1.8,0.722,0.5,1.6,2.1,1.7,0.3,0.2,0.8,0.9,5.3,
311,Eric Gordon,36,PHI,SG,21,1,17,1.8,4.8,0.38,0.9,2.9,0.3,1,1.9,0.5,0.47,0.9,1.1,0.783,0.1,0.8,1,1.3,0.6,0.3,0.7,0.7,5.3,
312,Vince Williams Jr.,24,MEM,SG,3,0,15,2.3,6.3,0.368,0.3,2.7,0.125,2,3.7,0.545,0.395,0.3,1.3,0.25,1.3,2.3,3.7,3,0,0.7,2.3,3,5.3,
313,Seth Curry,34,CHO,SG,30,8,13.8,1.9,4.2,0.464,0.9,2.2,0.424,1,2,0.508,0.576,0.4,0.5,0.867,0.4,1,1.4,0.5,0.5,0.2,0.3,1,5.2,
314,Paul Reed,25,DET,C,19,0,11.5,1.9,3.4,0.569,0.3,0.8,0.333,1.7,2.6,0.64,0.608,1,1.2,0.826,0.8,1.6,2.4,1.1,1.3,0.7,0.6,1.8,5.2,
315,Kel'el Ware,20,MIA,C,17,0,10.3,2.2,3.5,0.617,0.4,0.9,0.438,1.8,2.6,0.682,0.675,0.5,0.7,0.667,0.5,2.1,2.5,0.4,0.4,0.8,0.5,1,5.2,
316,Kyle Anderson,31,GSW,PF,27,2,14.3,2,4.7,0.429,0.6,1.6,0.357,1.4,3.1,0.464,0.488,0.6,0.9,0.652,0.6,2.3,2.9,2.1,0.7,0.4,0.5,1,5.1,
317,Jared Butler,24,WAS,SG,23,0,9.9,2,4.5,0.452,0.3,1.1,0.269,1.7,3.4,0.513,0.486,0.7,1,0.739,0.3,0.6,0.9,2.3,0.3,0.1,0.8,1,5.1,
318,Matas Buzelis,20,CHI,SF,32,0,13.1,1.8,4.9,0.365,0.8,2.4,0.333,1,2.4,0.397,0.449,0.7,0.9,0.786,0.6,2.1,2.7,0.5,0.3,0.8,0.6,1.4,5.1,
319,Pelle Larsson,23,MIA,SG,19,0,15.4,1.8,3.7,0.493,0.6,1.7,0.344,1.3,2.1,0.615,0.57,0.8,1.3,0.64,0.5,1.2,1.7,1.3,0.5,0,0.5,2.2,5.1,
320,Jonathan Mogbo,23,TOR,PF,34,6,16.6,2,4.3,0.456,0.2,0.7,0.292,1.8,3.6,0.488,0.48,1,1.4,0.717,1.8,2.5,4.3,1.6,0.8,0.5,0.9,1.8,5.1,
321,Cam Christie,19,LAC,SG,1,0,18,2,7,0.286,1,4,0.25,1,3,0.333,0.357,0,0,,1,2,3,0,2,0,1,0,5,
322,Tidjane Salaün,19,CHO,PF,29,8,19.2,1.7,5.3,0.327,1,3.3,0.292,0.8,2,0.386,0.418,0.6,0.9,0.667,1,3.2,4.2,1.1,0.6,0.2,0.8,1.4,5,
323,Jamal Shead,22,TOR,PG,31,0,15.8,2,4.9,0.408,0.6,2.1,0.308,1.4,2.8,0.483,0.474,0.3,0.5,0.667,0.2,0.9,1.2,3.4,0.6,0.1,1.5,1.7,5,
324,Alondes Williams,25,DET,SG,1,0,4,2,2,1,1,1,1,1,1,1,1.25,0,0,,0,0,0,1,0,0,0,0,5,
325,Marvin Bagley III,25,WAS,C,19,1,8.7,2,3.7,0.535,0.1,0.5,0.2,1.9,3.2,0.59,0.549,0.8,1.2,0.652,1.4,1.5,2.9,0.4,0.4,0.3,0.6,0.6,4.9,
326,Kevon Looney,28,GSW,C,29,5,15.5,2.1,4,0.539,0,0,,2.1,4,0.539,0.539,0.6,1.4,0.429,3,3.8,6.8,1.7,0.7,0.2,0.6,2.2,4.9,
327,Charles Bassey,24,SAS,C,22,0,10.4,2,3.6,0.57,0,0,,2,3.6,0.57,0.57,0.7,1.1,0.6,1.5,2.7,4.2,0.5,0.3,1,0.7,1.4,4.8,
328,Drew Eubanks,27,UTA,C,24,0,13.3,2,3.2,0.618,0.1,0.2,0.5,1.9,3,0.625,0.632,0.8,1.3,0.613,1.1,2.8,3.8,1.1,0.2,0.6,0.8,1.3,4.8,
329,Taylor Hendricks,21,UTA,PF,3,3,25,1.3,6,0.222,1,4,0.25,0.3,2,0.167,0.306,1,1.3,0.75,1.7,3.3,5,0.7,1.7,1.3,0.7,2.7,4.7,
330,Luke Kornet,29,BOS,C,29,3,16.8,1.8,2.9,0.612,0,0,,1.8,2.9,0.612,0.612,1.1,1.5,0.705,2.2,3,5.1,1.6,0.5,1,0.4,1.2,4.7,
331,David Roddy,23,ATL,PF,19,1,12.8,1.7,3.2,0.541,0.7,1.6,0.419,1.1,1.6,0.667,0.648,0.6,0.7,0.846,0.3,2.1,2.4,1.1,0.4,0.2,0.9,0.6,4.7,
332,JT Thor,22,CLE,PF,6,0,5,1.5,2,0.75,0.5,0.7,0.75,1,1.3,0.75,0.875,1.2,1.3,0.875,0.5,0.5,1,0,0.3,0.5,0.5,0.7,4.7,
333,Keaton Wallace,25,ATL,PG,16,1,15.5,1.8,4.4,0.408,0.8,2.3,0.351,1,2.1,0.471,0.5,0.3,0.3,1,0.1,1.3,1.4,1.9,0.8,0.4,1.1,0.9,4.7,
334,Pat Connaughton,32,MIL,SG,17,0,16.4,1.6,4.4,0.378,0.8,2.8,0.298,0.8,1.6,0.519,0.473,0.5,0.7,0.75,0.6,2.4,2.9,1.6,0.2,0.4,0.6,1.2,4.6,
335,Gary Payton II,32,GSW,SG,28,4,13.1,2.1,3.8,0.547,0.2,1.1,0.156,1.9,2.6,0.716,0.571,0.3,0.5,0.6,1.2,1.6,2.8,1.2,0.7,0.4,0.5,1.4,4.6,
336,Julian Phillips,21,CHI,SF,33,3,13.7,1.6,3.8,0.425,0.7,2.3,0.316,0.9,1.5,0.588,0.52,0.6,0.9,0.667,0.8,1.2,2,0.5,0.5,0.2,0.4,1.5,4.6,
337,Dariq Whitehead,20,BRK,SF,4,0,7,1.5,2.8,0.545,1.5,2.5,0.6,0,0.3,0,0.818,0,0,,0,0.8,0.8,0.3,0.8,0.3,0.8,0.3,4.5,
338,KJ Simpson,22,CHO,PG,11,0,14.5,1.5,5.2,0.298,0.5,2.5,0.179,1.1,2.6,0.414,0.342,0.9,1.4,0.667,1,0.8,1.8,1.8,0.8,0.2,0.9,1.3,4.5,
339,Thomas Bryant,27,2TM,C,19,0,11.1,1.5,3.1,0.492,0.6,1.7,0.364,0.9,1.4,0.654,0.593,0.7,0.7,1,0.8,2.3,3.1,0.4,0.3,0.6,0.2,0.9,4.4,
339,Thomas Bryant,27,MIA,C,10,0,11.5,1.2,2.8,0.429,0.6,1.7,0.353,0.6,1.1,0.545,0.536,1.1,1.1,1,0.6,2.6,3.2,0.4,0.1,0.9,0.2,0.9,4.1,
339,Thomas Bryant,27,IND,C,9,0,10.7,1.9,3.4,0.548,0.7,1.8,0.375,1.2,1.7,0.733,0.645,0.3,0.3,1,1,1.9,2.9,0.4,0.4,0.3,0.2,0.9,4.8,
340,Sandro Mamukelashvili,25,SAS,PF,21,0,9.2,1.5,2.8,0.542,0.8,1.9,0.425,0.7,0.9,0.789,0.686,0.5,0.7,0.733,0.6,2.2,2.8,0.4,0.1,0.3,0.4,0.6,4.4,
341,Antonio Reeves,24,NOP,SG,16,0,9.3,1.8,4.4,0.4,0.6,2.1,0.265,1.2,2.3,0.528,0.464,0.4,0.4,0.857,0.4,0.8,1.1,0.6,0.3,0,0.3,0.4,4.4,
342,Ryan Rollins,22,MIL,PG,18,4,11.6,1.7,3.6,0.462,0.7,1.7,0.433,0.9,1.9,0.486,0.562,0.4,0.5,0.778,0.3,1.4,1.8,1.1,0.9,0.4,0.9,1.3,4.4,
343,Jaylin Williams,22,OKC,PF,7,0,12.4,1.6,4.1,0.379,1.3,3.7,0.346,0.3,0.4,0.667,0.534,0,0,,0.6,2.3,2.9,2,0.3,0.3,0.3,1.1,4.4,
344,Jamal Cain,25,NOP,SF,16,0,14.1,1.6,3.4,0.455,0.6,1.8,0.321,1,1.7,0.593,0.536,0.6,1,0.625,0.9,1.9,2.8,0.6,0.5,0.4,0.4,1.3,4.3,
345,Mason Plumlee,34,PHO,C,31,9,17.5,1.6,2.7,0.588,0,0,0,1.6,2.7,0.595,0.588,1.1,1.8,0.6,1.6,4.6,6.2,1.8,0.3,0.8,0.8,2,4.3,
346,Gabe Vincent,28,LAL,PG,31,5,18.9,1.6,4.3,0.373,0.9,2.8,0.33,0.7,1.5,0.457,0.481,0.1,0.3,0.5,0.3,1,1.3,0.9,0.8,0.2,0.6,1.9,4.3,
347,Dalen Terry,22,CHI,SG,31,1,13.8,1.5,3.1,0.479,0.4,1.2,0.351,1.1,1.9,0.559,0.547,0.8,1.2,0.694,0.6,0.9,1.5,1.1,0.5,0.3,0.9,1.5,4.2,
348,Mo Bamba,26,LAC,C,19,0,12.4,1.6,3.6,0.435,0.4,1.7,0.242,1.2,1.9,0.611,0.493,0.5,0.7,0.692,0.8,3.1,3.8,0.6,0.4,1,0.6,1.8,4.1,
349,Gary Harris,30,ORL,SG,20,2,16.3,1.5,3.6,0.403,1,2.7,0.352,0.5,0.9,0.556,0.535,0.2,0.4,0.5,0.5,0.8,1.3,0.5,0.7,0.3,0.5,0.7,4.1,
350,Kyle Lowry,38,PHI,PG,24,12,19.7,1.2,3.5,0.341,0.9,2.7,0.328,0.3,0.9,0.381,0.465,0.8,1,0.8,0.3,1.5,1.8,2.7,1,0.3,0.7,1.9,4.1,
351,Wendell Moore Jr.,23,DET,SG,14,1,14.1,1.5,3.1,0.477,0.2,0.9,0.231,1.3,2.2,0.581,0.511,0.9,1,0.929,0.8,2.2,3,1.5,0.7,0.2,0.6,1,4.1,
352,Jett Howard,21,ORL,SF,33,0,10.4,1.4,3.8,0.365,0.8,2.8,0.304,0.5,1,0.529,0.476,0.3,0.4,0.846,0.3,0.8,1.1,0.5,0.2,0.2,0.4,0.9,4,
353,Micah Potter,26,UTA,C,9,2,18.1,1.4,3.3,0.433,1.1,2.8,0.4,0.3,0.6,0.6,0.6,0,0,,1.6,3.6,5.1,1.3,0.2,0.4,0.7,1,4,
354,Josh Richardson,31,MIA,SG,8,0,18.8,1.4,4.8,0.289,0.8,2.8,0.273,0.6,2,0.313,0.368,0.5,0.5,1,0.8,0.8,1.5,1.5,1,0.1,1,2.1,4,
355,Luka Garza,26,MIN,C,9,0,5.1,1.6,2.8,0.56,0.2,0.9,0.25,1.3,1.9,0.706,0.6,0.6,0.9,0.625,0.4,0.8,1.2,0.1,0.1,0,0.3,0.4,3.9,
356,Kris Murray,24,POR,SF,27,0,12.4,1.6,3.4,0.457,0.4,1.4,0.289,1.1,2,0.574,0.516,0.3,0.8,0.409,1,1.2,2.1,0.7,0.4,0.1,0.6,1,3.9,
357,Blake Wesley,21,SAS,SG,23,0,11.3,1.5,3.3,0.461,0.2,0.9,0.2,1.3,2.4,0.554,0.487,0.7,0.9,0.714,0.3,0.6,0.8,2,0.4,0.1,1,0.6,3.9,
358,Oso Ighodaro,22,PHO,PF,26,2,15.9,1.7,2.8,0.595,0,0,,1.7,2.8,0.595,0.595,0.4,0.7,0.579,1,2.7,3.7,0.9,0.5,0.3,0.6,1.7,3.8,
359,Reggie Jackson,34,PHI,PG,17,0,11.7,1.4,3.6,0.393,0.9,2.2,0.395,0.5,1.4,0.391,0.516,0.1,0.1,0.5,0.2,1.1,1.3,1.8,0.5,0.2,0.5,0.8,3.8,
360,Cam Spencer,24,MEM,SG,8,0,12.3,1.1,2.9,0.391,0.5,1.5,0.333,0.6,1.4,0.455,0.478,1,1,1,0.6,1.4,2,1.8,0.4,0.1,0.6,1.3,3.8,
361,Daniel Theis,32,NOP,C,25,7,14.7,1.4,3.2,0.456,0.2,1,0.208,1.2,2.2,0.564,0.487,0.8,0.9,0.864,0.8,2.8,3.7,1.4,0.4,0.6,0.7,1.8,3.8,
362,Rob Dillingham,20,MIN,PG,15,0,8.5,1.5,3.4,0.451,0.6,1.4,0.429,0.9,2,0.467,0.539,0,0,,0.1,0.7,0.7,1.7,0.1,0,1.1,0.3,3.7,
363,Aaron Holiday,28,HOU,PG,23,0,9.9,1.3,2.9,0.433,0.7,1.9,0.395,0.5,1,0.5,0.56,0.5,0.6,0.846,0.1,0.9,1,1.1,0.3,0.1,0.3,0.8,3.7,
364,Doug McDermott,33,SAC,SF,23,3,9.1,1.3,3.1,0.408,1,2.7,0.393,0.2,0.4,0.5,0.577,0.1,0.2,0.6,0.1,0.6,0.7,0.1,0.2,0,0.1,0.9,3.7,
365,Andre Jackson Jr.,23,MIL,SG,31,23,18.1,1.4,3.5,0.402,0.6,1.6,0.353,0.8,1.8,0.446,0.486,0.2,0.4,0.538,0.9,2.2,3.1,1.4,0.6,0.2,1.2,2.4,3.6,
366,Isaac Jones,24,SAC,PF,21,0,8.2,1.5,2.3,0.667,0,0.2,0.25,1.5,2.1,0.705,0.677,0.5,1,0.55,0.5,1,1.5,0.2,0.1,0.4,0.5,1,3.6,
367,Vit Krejci,24,ATL,PG,20,3,14.7,1.3,3.6,0.347,0.6,2.2,0.25,0.7,1.4,0.5,0.424,0.5,0.7,0.714,0.5,1.6,2.1,2.1,0.6,0.4,0.8,1.8,3.6,
368,Patty Mills,36,UTA,PG,9,0,15.3,1.2,3.4,0.355,0.8,2.7,0.292,0.4,0.8,0.571,0.468,0.3,0.3,1,0.1,0.8,0.9,1.4,0.7,0.2,0.9,0.9,3.6,
369,Brandon Williams,25,DAL,PG,8,0,7.9,1.3,3,0.417,0.3,1,0.25,1,2,0.5,0.458,0.9,1.1,0.778,0.3,0.8,1,0.8,0.1,0,0.6,0.5,3.6,
370,Jevon Carter,29,CHI,PG,16,0,6.7,1.3,2.8,0.444,0.8,1.9,0.419,0.4,0.9,0.5,0.589,0.2,0.3,0.75,0.1,0.8,0.9,0.9,0.3,0,0.4,0.3,3.5,
371,Cam Reddish,25,LAL,SF,27,8,19.3,1.3,2.9,0.449,0.4,1.5,0.293,0.9,1.4,0.622,0.526,0.5,0.8,0.619,0.5,1.6,2.1,0.8,1.1,0.4,0.4,1.5,3.5,
372,Jabari Walker,22,POR,SF,24,1,10.3,1.4,3.2,0.447,0.2,0.9,0.182,1.3,2.3,0.556,0.474,0.5,0.8,0.722,0.9,2.1,3,0.5,0.3,0.1,0.5,1.1,3.5,
373,Cody Williams,20,UTA,SG,19,8,19.2,1.3,4.1,0.312,0.5,2.2,0.238,0.7,1.8,0.4,0.377,0.5,0.7,0.643,0.5,1.8,2.3,1.2,0.4,0.3,0.8,1.6,3.5,
374,Nicolas Batum,36,LAC,PF,34,1,18.3,1.1,2.9,0.384,0.9,2.4,0.383,0.2,0.5,0.389,0.54,0.3,0.4,0.769,0.7,2.1,2.8,1.6,0.6,0.4,0.6,1.4,3.4,
375,Moussa Diabaté,23,CHO,C,30,4,17.9,1.5,2.5,0.605,0,0,,1.5,2.5,0.605,0.605,0.4,0.8,0.44,3.1,3.8,6.8,0.6,0.6,0.7,0.9,1.7,3.4,
376,Bruno Fernando,26,TOR,C,17,2,8.6,1.5,2.9,0.531,0,0,,1.5,2.9,0.531,0.531,0.4,0.5,0.75,1.2,1.8,3,1.1,0.2,0.5,0.8,1.6,3.4,
377,Tre Jones,25,SAS,PG,16,0,16.7,1.2,2.9,0.413,0.2,0.9,0.2,1,1.9,0.516,0.446,0.8,1.1,0.765,0.6,1.7,2.3,3.8,0.6,0.3,0.8,1.3,3.4,
378,Josh Minott,22,MIN,SF,20,0,7.7,1.4,2.4,0.563,0.3,1.1,0.286,1.1,1.4,0.778,0.625,0.4,0.5,0.778,0.3,1.1,1.4,0.6,0.5,0.4,0.3,0.9,3.4,
379,Dario Šarić,30,DEN,C,10,3,13.6,1.2,4,0.3,0.5,1.9,0.263,0.7,2.1,0.333,0.363,0.5,0.6,0.833,0.9,2.6,3.5,1.1,0.6,0,1.1,1.4,3.4,
380,Bol Bol,25,PHO,PF,7,0,5.3,1.3,2.1,0.6,0.1,0.7,0.2,1.1,1.4,0.8,0.633,0.6,0.9,0.667,0.6,1,1.6,0.1,0,0,0.4,0.1,3.3,
381,Jae Crowder,34,SAC,SF,6,2,14.8,1,2.8,0.353,0.5,2,0.25,0.5,0.8,0.6,0.441,0.8,1,0.833,1,1.8,2.8,0.7,0.5,0,0.7,1.7,3.3,
382,Jalen Pickett,25,DEN,SG,8,0,9.9,1.3,2.6,0.476,0.8,1.8,0.429,0.5,0.9,0.571,0.619,0,0,,0.1,1,1.1,2.6,0.1,0.1,0.6,0.9,3.3,
383,Reed Sheppard,20,HOU,PG,30,0,11.6,1.3,3.9,0.322,0.6,2.3,0.279,0.6,1.7,0.38,0.403,0.2,0.2,0.833,0.3,0.9,1.3,1.2,0.5,0.3,0.6,0.9,3.3,
384,Jae'Sean Tate,29,HOU,SF,17,0,9.2,1.2,2.5,0.488,0.1,0.5,0.222,1.1,2,0.559,0.512,0.7,1,0.706,0.6,1.7,2.4,0.7,0.6,0.1,0.5,1.6,3.3,
385,Moses Brown,25,IND,C,9,0,5.1,1.4,2.2,0.65,0,0,,1.4,2.2,0.65,0.65,0.3,0.6,0.6,0.4,1,1.4,0,0.2,0.1,0.7,0.7,3.2,
386,Drew Peterson,25,BOS,PF,11,0,9.9,1,2,0.5,0.6,1.5,0.412,0.4,0.5,0.8,0.659,0.5,0.6,0.857,0.5,1.6,2.1,0.7,0.2,0.2,0.5,0.9,3.2,
387,Rayan Rupert,20,POR,SG,25,0,9.9,1.2,2.7,0.426,0.4,1.2,0.29,0.8,1.5,0.541,0.493,0.5,0.6,0.75,0.7,0.7,1.4,0.5,0.3,0.1,0.5,0.7,3.2,
388,Landry Shamet,27,NYK,SG,6,0,9,1.3,2.2,0.615,0.5,0.8,0.6,0.8,1.3,0.625,0.731,0,0,,0,0.5,0.5,0.7,0.8,0,0.2,0.3,3.2,
389,Isaiah Collier,20,UTA,PG,24,2,17.3,1.3,4,0.316,0.3,1.6,0.158,1,2.4,0.421,0.347,0.4,0.8,0.45,0.2,2,2.2,3.4,0.8,0.2,2.3,1.8,3.1,
390,Jeff Dowtin,27,PHI,PG,11,0,10.2,1.2,2.7,0.433,0.2,0.8,0.222,1,1.9,0.524,0.467,0.5,0.8,0.667,0.2,0.8,1,1.1,0.3,0.1,0.2,0.6,3.1,
391,Jock Landale,29,HOU,C,19,0,9.5,1.2,2.8,0.415,0.2,0.4,0.429,1,2.4,0.413,0.443,0.6,1.1,0.55,1.2,1.5,2.6,0.7,0.2,0.4,0.5,0.8,3.1,
392,Nick Smith Jr.,20,CHO,SG,15,0,8.8,1.2,3.4,0.353,0.7,1.9,0.357,0.5,1.5,0.348,0.451,0.1,0.1,0.5,0.1,0.8,0.9,0.7,0.3,0.1,0.2,0.5,3.1,
393,David Duke Jr.,25,SAS,SG,1,0,8,1,4,0.25,0,1,0,1,3,0.333,0.25,1,2,0.5,0,0,0,2,0,0,0,1,3,
394,Collin Gillespie,25,PHO,PG,1,0,3,1,2,0.5,1,1,1,0,1,0,0.75,0,0,,0,0,0,0,0,0,0,0,3,
395,Jeff Green,38,HOU,PF,10,1,8.4,1.1,2.1,0.524,0.5,1.3,0.385,0.6,0.8,0.75,0.643,0.3,0.4,0.75,0.1,1.1,1.2,0.1,0.3,0,0.3,0.7,3,
396,Richaun Holmes,31,WAS,PF,4,0,6,1.3,2.8,0.455,0,0.3,0,1.3,2.5,0.5,0.455,0.5,0.5,1,0.8,1,1.8,0,0,0.5,0.5,0.3,3,
397,DeAndre Jordan,36,DEN,C,21,0,10.4,1.4,2.2,0.652,0,0,,1.4,2.2,0.652,0.652,0.2,0.6,0.308,0.9,3,3.9,0.9,0.3,0.5,0.7,1.1,3,
398,A.J. Lawson,24,TOR,SG,3,0,4.7,1,2.3,0.429,0.7,1.7,0.4,0.3,0.7,0.5,0.571,0.3,0.7,0.5,0.3,0.7,1,0,0,0,0,0,3,
399,Taze Moore,26,POR,SG,2,0,10,1,5,0.2,0.5,2,0.25,0.5,3,0.167,0.25,0.5,1,0.5,2,2,4,0.5,1,0,1,0,3,
400,Pete Nance,24,PHI,PF,1,0,3,1,1,1,1,1,1,0,0,,1.5,0,0,,0,1,1,0,0,0,0,3,3,
401,Quincy Olivari,23,LAL,PG,1,0,8,1,3,0.333,1,3,0.333,0,0,,0.5,0,0,,0,0,0,0,0,0,1,0,3,
402,Oscar Tshiebwe,25,UTA,PF,1,0,16,0,0,,0,0,,0,0,,,3,4,0.75,3,6,9,0,2,0,1,3,3,
403,Johnny Davis,22,WAS,SG,23,0,8.3,1.2,2.7,0.443,0.3,0.9,0.286,0.9,1.7,0.525,0.492,0.3,0.5,0.636,0.3,1.1,1.4,0.4,0.5,0.3,0.2,0.7,2.9,
404,Ousmane Dieng,21,OKC,PF,20,0,10.2,1.1,3.3,0.323,0.5,1.9,0.237,0.6,1.4,0.444,0.392,0.4,0.6,0.636,0.5,1.9,2.4,0.7,0.7,0.2,0.3,1,2.9,
405,John Konchar,28,MEM,SG,20,2,14.4,1.1,2.6,0.404,0.6,1.9,0.316,0.5,0.7,0.643,0.519,0.2,0.3,0.8,1.1,2.9,4,1.2,0.7,0.5,0.5,1.1,2.9,
406,Steven Adams,31,HOU,C,21,0,10.1,1.1,1.8,0.605,0,0,,1.1,1.8,0.605,0.605,0.6,1.4,0.414,1.8,2.1,4,1.1,0.2,0.2,1,1,2.8,
407,Kobe Brown,25,LAC,PF,9,0,7.6,1.2,2.9,0.423,0.2,0.8,0.286,1,2.1,0.474,0.462,0.1,0.2,0.5,0.7,1.4,2.1,0.6,0.1,0,0,0.9,2.8,
408,Johnny Furphy,20,IND,SG,21,0,9.9,1,2.6,0.37,0.5,1.5,0.344,0.4,1,0.409,0.472,0.3,0.3,1,0.6,0.8,1.4,0.4,0.4,0.3,0.4,1,2.8,
409,Delon Wright,32,MIL,PG,22,2,16.6,1,3.2,0.3,0.5,1.9,0.262,0.5,1.3,0.357,0.379,0.4,0.6,0.571,0.7,1.2,1.9,1.9,0.9,0.3,0.6,0.7,2.8,
410,TyTy Washington Jr.,23,PHO,PG,3,0,9,1,2,0.5,0.7,1,0.667,0.3,1,0.333,0.667,0,0,,0,0.3,0.3,1.3,0.7,0,0.3,0,2.7,
411,Taj Gibson,39,CHO,C,14,8,10.8,1.1,2.4,0.471,0.1,0.1,0.5,1.1,2.3,0.469,0.485,0.3,0.4,0.667,1.5,1.7,3.2,0.5,0.4,0.2,0.6,1.3,2.6,
412,Duop Reath,28,POR,C,15,0,6.1,0.9,2.1,0.406,0.6,1.6,0.375,0.3,0.5,0.5,0.547,0.3,0.4,0.667,0.4,0.5,0.9,0.3,0,0.1,0.1,0.7,2.6,
413,Hunter Tyson,24,DEN,PF,23,0,9,0.8,2,0.422,0.3,1.1,0.308,0.5,0.8,0.579,0.511,0.6,0.7,0.867,0.4,1.3,1.7,0.5,0.2,0.2,0.4,1,2.6,
414,E.J. Liddell,24,CHI,PF,6,0,5.2,0.8,1.3,0.625,0.5,1,0.5,0.3,0.3,1,0.813,0.3,0.3,1,0.2,0.7,0.8,0.5,0.2,0.2,0.3,1.3,2.5,
415,Craig Porter Jr.,24,CLE,PG,20,0,8.6,1,1.9,0.541,0.3,0.6,0.455,0.8,1.3,0.577,0.608,0.3,0.4,0.714,0.1,0.8,0.9,1.2,0.3,0.4,0.5,0.5,2.5,
416,Chris Duarte,27,CHI,SG,13,0,4.2,0.8,1.5,0.5,0.4,0.9,0.417,0.4,0.6,0.625,0.625,0.5,0.6,0.75,0.3,0.9,1.2,0.4,0,0,0.1,0.4,2.4,
417,Trey Jemison,25,NOP,C,16,0,10.4,0.9,2,0.469,0,0,,0.9,2,0.469,0.469,0.5,1.3,0.381,1.4,1.4,2.8,0.6,0.4,0.4,0.6,1.7,2.4,
418,Maxi Kleber,33,DAL,PF,23,3,19.1,0.9,2.4,0.364,0.3,1.1,0.24,0.6,1.3,0.467,0.418,0.4,0.5,0.75,0.7,2.5,3.2,0.9,0.3,0.5,0.7,1.9,2.4,
419,Tyler Kolek,23,NYK,PG,20,0,6.4,0.9,2.1,0.405,0.5,1.3,0.4,0.4,0.9,0.412,0.524,0.2,0.2,1,0.1,0.6,0.7,0.8,0.3,0.1,0.4,0.6,2.4,
420,Damion Lee,32,PHO,SG,7,0,6.7,0.7,3,0.238,0.1,1.7,0.083,0.6,1.3,0.444,0.262,0.9,0.9,1,0,0.7,0.7,0.7,0.3,0,0.4,0.3,2.4,
421,Olivier-Maxence Prosper,22,DAL,PF,24,0,7.3,0.8,2.2,0.377,0.2,0.7,0.25,0.7,1.5,0.432,0.415,0.5,0.9,0.619,0.8,1.1,1.9,0.5,0.3,0.1,0.2,0.4,2.4,
422,Vlatko Čančar,27,DEN,PF,4,0,8.5,1,1.8,0.571,0.3,0.5,0.5,0.8,1.3,0.6,0.643,0,0,,0.8,1.3,2,0,0,0.3,0.5,1,2.3,
423,Anthony Gill,32,WAS,PF,23,0,6.7,0.8,1.6,0.514,0.2,0.6,0.385,0.6,1,0.583,0.581,0.4,0.8,0.556,0.3,0.9,1.2,0.3,0.2,0,0.2,0.5,2.3,
424,Lester Quiñones,24,PHI,SG,4,0,4.3,1,2,0.5,0,0.8,0,1,1.3,0.8,0.5,0.3,0.3,1,0.8,0.3,1,0.3,0,0,1,0,2.3,
425,Tristan Thompson,33,CLE,PF,14,0,7.1,1,2.1,0.483,0,0.1,0,1,2,0.5,0.483,0.3,1,0.286,0.6,1.9,2.6,0.3,0,0.3,0.4,0.7,2.3,
426,Jeenathan Williams,25,HOU,SG,3,0,3.3,1,1.3,0.75,0.3,0.7,0.5,0.7,0.7,1,0.875,0,0,,0,1,1,0,0.3,0,0,0,2.3,
427,Kai Jones,24,LAC,C,22,0,8.1,0.9,1.3,0.69,0,0.1,0,0.9,1.2,0.741,0.69,0.4,0.5,0.75,0.6,1.2,1.9,0.5,0.3,0.5,0.4,1,2.2,
428,Christian Koloko,24,LAL,C,21,0,9.6,1,1.7,0.6,0,0.1,0,1,1.6,0.636,0.6,0.1,0.2,0.75,1.1,1.4,2.5,0.3,0.3,0.4,0.3,1.2,2.1,
429,Jordan McLaughlin,28,SAC,PG,23,0,7.2,0.7,1.7,0.385,0.4,1,0.391,0.3,0.7,0.375,0.5,0.4,0.6,0.714,0.1,0.7,0.8,0.9,0.4,0,0.4,0.5,2.1,
