Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
210,Jusuf Nurkić,30,PHO,C,23,23,24.3,3,6.7,0.452,0.7,2.4,0.304,2.3,4.3,0.535,0.506,2,2.8,0.692,1.9,7.6,9.5,1.9,1,0.7,2.3,3,8.8,
211,Noah Clowney,20,BRK,PF,24,6,20.4,2.9,7,0.414,1.9,5,0.387,1,2.1,0.48,0.55,1,1.2,0.793,0.9,2.7,3.6,0.7,0.3,0.5,0.8,2.7,8.7,
212,Draymond Green,34,GSW,PF,29,27,28.6,3,7.1,0.42,1.4,3.8,0.369,1.6,3.3,0.479,0.519,1.3,2.1,0.613,1,5.2,6.3,5.7,1,1.1,2.5,3.2,8.7,
213,Peyton Watson,22,DEN,SF,33,12,23.9,3.2,6.5,0.486,0.7,2.1,0.343,2.5,4.4,0.555,0.542,1.6,2,0.776,0.9,2.2,3.2,1.4,0.8,1,0.8,1.9,8.7,
214,Nikola Jović,21,MIA,PF,23,9,20.9,2.8,6.2,0.448,1.2,3.2,0.378,1.6,3,0.522,0.545,1.8,2.2,0.82,0.5,3.2,3.7,2,0.8,0.1,0.8,1.4,8.6,
215,Dereck Lively II,20,DAL,C,27,20,24.1,3.6,5.1,0.698,0,0,,3.6,5.1,0.698,0.698,1.4,2.3,0.613,3,4.8,7.8,2.6,0.6,1.7,1.2,2.9,8.6,
216,Garrison Mathews,28,ATL,SG,26,2,18.8,2.5,5.6,0.438,2.1,4.7,0.439,0.4,0.9,0.435,0.623,1.6,1.9,0.82,0.2,1.2,1.4,1.5,0.7,0.3,0.6,1.8,8.6,
217,Georges Niang,31,CLE,PF,34,1,20.6,3.3,6.9,0.479,1.7,4.4,0.387,1.6,2.5,0.643,0.603,0.4,0.5,0.75,0.7,3.2,3.9,1.5,0.4,0.1,1,2.3,8.6,
218,Ziaire Williams,23,BRK,SF,22,7,21.7,3,7.5,0.402,0.9,3.2,0.286,2.1,4.3,0.489,0.463,1.7,2.1,0.804,1.1,3.4,4.5,1.1,0.9,0.4,0.9,2.6,8.6,
219,Anthony Black,21,ORL,PG,33,3,24,3,7.2,0.412,0.6,2.4,0.266,2.3,4.8,0.484,0.456,1.9,2.6,0.753,0.6,2.1,2.7,3.5,0.9,0.7,2.2,2.3,8.5,
220,Trayce Jackson-Davis,24,GSW,C,32,25,18.8,3.7,6.2,0.596,0,0,0,3.7,6.2,0.599,0.596,1.1,1.8,0.643,2.1,3.8,5.8,2.1,0.3,0.9,0.8,1.3,8.5,
221,Jaime Jaquez Jr.,23,MIA,SF,28,4,21.4,3.1,7.5,0.416,0.5,2,0.268,2.6,5.5,0.471,0.452,1.7,2.3,0.723,1.3,3.3,4.6,2.3,1.1,0.1,1.4,1.6,8.4,
222,Luke Kennard,28,MEM,SG,23,0,21,2.7,6.1,0.433,2,4.4,0.446,0.7,1.7,0.4,0.592,1.1,1.3,0.867,0.6,2.3,2.9,3.2,0.7,0.1,0.9,0.8,8.4,
223,Jaylen Nowell,25,NOP,SG,8,0,21,3.3,9.1,0.356,1,3.4,0.296,2.3,5.8,0.391,0.411,0.9,1.4,0.636,0.8,1.8,2.5,2.3,0.1,0.5,1,1.1,8.4,
224,Cody Martin,29,CHO,SF,31,7,25.8,3.2,7.3,0.438,1.1,3.5,0.312,2.1,3.8,0.556,0.513,0.8,1.3,0.667,1.1,3.7,4.7,2.3,1.1,0.7,1.1,2,8.3,
225,Ja'Kobe Walter,20,TOR,SG,20,7,20.1,3.1,7.7,0.399,1.1,3.7,0.288,2,4,0.5,0.467,1.2,1.7,0.697,0.9,1.9,2.8,1.6,0.5,0.3,0.9,2.1,8.3,
226,Trendon Watford,24,BRK,PF,13,0,16.1,2.7,6.1,0.443,0.6,2,0.308,2.1,4.1,0.509,0.494,2.3,2.7,0.857,0.3,2.5,2.8,1.2,0.4,0.3,1.2,2.3,8.3,
227,Mike Conley,37,MIN,PG,29,29,25,2.6,7.3,0.355,1.9,5.1,0.367,0.7,2.2,0.328,0.483,1.2,1.3,0.921,0.5,2.2,2.7,4.4,1.4,0.2,1.2,1.6,8.2,
228,Isaiah Joe,25,OKC,SG,32,10,20.1,2.9,7.4,0.392,2,5.8,0.351,0.9,1.6,0.538,0.53,0.4,0.5,0.706,0.5,2.1,2.6,1.3,0.8,0.2,0.4,1.5,8.2,
229,Jake LaRavia,23,MEM,PF,34,0,21.9,2.9,5.8,0.495,1,2.1,0.452,1.9,3.6,0.52,0.579,1.4,2.1,0.7,1.5,3,4.5,3.2,0.9,0.5,1.6,2.1,8.1,
230,Moses Moody,22,GSW,SG,27,4,15.9,2.7,6.1,0.446,1.4,3.7,0.39,1.3,2.4,0.53,0.563,1.1,1.4,0.744,0.4,1.4,1.8,0.8,0.4,0.2,0.8,1.2,8,
231,Brandin Podziemski,21,GSW,SG,30,8,24.2,3.1,7.7,0.404,1,3.5,0.295,2.1,4.2,0.496,0.472,0.7,1,0.733,1,3.5,4.5,3.2,1,0.2,1,1.5,8,
232,Sam Hauser,27,BOS,PF,28,6,21.6,2.9,6.6,0.432,2.1,5.6,0.376,0.8,1,0.75,0.592,0.1,0.1,1,0.8,2.4,3.1,1.1,0.8,0.2,0.3,1.1,7.9,
233,Max Christie,21,LAL,SG,33,12,22.6,2.5,5.4,0.453,1,2.8,0.374,1.4,2.7,0.534,0.547,1.9,2.2,0.873,0.7,1.7,2.4,1.3,0.9,0.4,0.7,1.6,7.8,
234,Brice Sensabaugh,21,UTA,SF,26,0,16.8,2.8,6.2,0.45,1.5,3.8,0.38,1.3,2.3,0.567,0.569,0.8,0.9,0.913,0.6,2,2.6,1.3,0.6,0.1,1.4,1.2,7.8,
235,Jalen Smith,24,CHI,C,30,1,15.4,2.8,6.1,0.462,1.1,3.3,0.337,1.7,2.8,0.607,0.552,1.1,1.4,0.791,1.3,4.1,5.4,0.7,0.4,0.7,0.6,1.6,7.8,
236,A.J. Green,25,MIL,SG,30,4,21.6,2.6,5.8,0.451,2.3,5.1,0.442,0.3,0.6,0.526,0.647,0.3,0.3,0.889,0.2,2.1,2.3,1.3,0.5,0.1,0.6,2,7.7,
237,Svi Mykhailiuk,27,UTA,SF,10,5,16.7,2.7,6.7,0.403,1.9,5.1,0.373,0.8,1.6,0.5,0.545,0.4,0.6,0.667,0.1,1.4,1.5,1.3,0.8,0.2,1.4,1,7.7,
238,Wendell Carter Jr.,25,ORL,C,23,19,24.8,2.7,6,0.457,0.3,2,0.149,2.4,4,0.615,0.482,1.8,2.6,0.712,1.6,5.7,7.3,2.1,0.7,0.7,0.8,2.5,7.6,
239,Bones Hyland,24,LAC,PG,14,0,11.5,2.4,6.2,0.379,1.7,4.3,0.4,0.6,1.9,0.333,0.517,1.2,1.4,0.85,0.2,0.9,1.1,1.3,0.9,0.3,1.1,1.2,7.6,
240,Keon Johnson,22,BRK,SG,32,13,20.1,2.8,7.8,0.361,1.3,4.6,0.286,1.5,3.2,0.471,0.446,0.6,0.8,0.741,0.7,2.6,3.3,1.2,0.7,0.3,1.2,2.5,7.6,
241,Vasilije Micić,31,CHO,PG,22,11,22.1,2.7,8.2,0.333,1.3,3.9,0.337,1.4,4.3,0.33,0.414,0.8,1,0.783,0.7,1.9,2.5,3.8,0.6,0,2.2,1.1,7.6,
242,Josh Green,24,CHO,SG,31,30,29,2.7,6.4,0.419,1.5,3.6,0.411,1.2,2.8,0.43,0.535,0.7,1.1,0.618,1.1,1.6,2.7,1.5,0.9,0.4,1,3.1,7.5,
243,DaQuan Jeffries,27,CHO,SG,8,0,19,3,5.6,0.533,1.1,2.5,0.45,1.9,3.1,0.6,0.633,0.4,0.5,0.75,0.8,2.1,2.9,0.6,0.6,0.6,0.8,1.8,7.5,
244,Taurean Prince,30,MIL,SF,32,26,25.7,2.7,6,0.451,1.7,3.7,0.454,1,2.3,0.446,0.591,0.4,0.6,0.722,0.7,3.3,4,1.7,0.9,0.2,1.2,2,7.5,
245,Brandon Clarke,28,MEM,PF,32,18,18.5,3.3,5.5,0.602,0,0.5,0.063,3.3,5,0.656,0.605,0.8,1.2,0.649,1.8,3.4,5.2,1,0.8,0.5,0.5,2.1,7.4,
246,Kyshawn George,21,WAS,SG,27,6,25.4,2.6,7.4,0.343,1.3,4.9,0.256,1.3,2.5,0.515,0.428,0.9,1.2,0.719,0.7,3.3,4,2.2,0.7,0.7,1.1,2.9,7.2,
247,Kelly Olynyk,33,TOR,C,12,1,15.7,2.4,5.3,0.46,0.9,1.9,0.478,1.5,3.3,0.45,0.548,1.4,1.7,0.85,1.1,3,4.1,2.1,0.8,0.3,1.7,2.5,7.2,
248,Ausar Thompson,22,DET,SF,14,3,17.7,3.1,6.6,0.478,0.3,1.3,0.222,2.9,5.3,0.541,0.5,0.6,1.6,0.409,1.4,2.9,4.3,1.6,1.1,0.3,1.6,2.6,7.2,
249,Jaden Hardy,22,DAL,SG,27,3,15,2.6,6.1,0.418,1,2.8,0.355,1.6,3.3,0.472,0.5,1,1.3,0.743,0.2,1.3,1.5,1.3,0.6,0.1,1.4,1.5,7.1,
